,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate,sell_amount_rate,sell_price_rate,risk_type,keep_amount
312,312,313,26,2,B,3,Basketball,playground,456,0.89,0.11,0.2,0.92,D,2055
313,313,314,61,5,C,14,Badminton,street,335,0.36,1.0,0.3,1.02,D,2676
314,314,315,77,3,B,7,Basketball,grassland,235,0.46,0.82,1.0,1.08,A,3455
315,315,316,20,1,E,34,Basketball,Forest,350,0.65,0.12,0.2,1.0,D,1965
316,316,317,69,4,D,27,Badminton,grassland,115,0.3,0.85,0.6,0.92,B,1510
317,317,318,51,1,E,34,Badminton,park,417,0.73,0.78,0.4,1.09,D,4429
318,318,319,70,5,C,13,Basketball,playground,425,0.96,0.95,0.4,0.94,C,4234
319,319,320,39,3,C,14,Basketball,street,600,0.89,0.37,0.7,1.1,B,2638
320,320,321,72,3,E,32,Running,Forest,324,0.89,0.88,0.4,1.03,C,1906
321,321,322,23,0,A,0,Running,grassland,222,0.0,0.0,0.8,0.95,B,2180
322,322,323,58,1,D,27,Basketball,Forest,285,0.65,0.78,0.1,1.1,E,3003
323,323,324,29,5,E,35,Badminton,park,460,0.7,0.07,0.6,0.9,B,1994
324,324,325,42,1,E,31,Running,playground,330,0.23,0.52,0.2,1.05,D,2698
325,325,326,33,6,D,29,Badminton,park,397,0.17,0.32,0.9,1.0,A,3266
326,326,327,65,6,D,29,Badminton,grassland,199,0.34,0.93,0.3,0.9,D,3703
327,327,328,64,0,A,0,Running,park,510,0.0,0.0,0.9,0.93,A,2901
328,328,329,66,2,B,2,Badminton,park,371,0.92,0.99,0.2,1.06,D,2873
329,329,330,16,6,B,9,Badminton,park,426,0.89,0.03,0.9,0.95,A,3384
330,330,331,51,5,B,7,Badminton,street,338,0.91,0.61,0.1,1.06,E,2672
331,331,332,43,0,A,0,Badminton,street,359,0.0,0.0,0.4,0.93,C,2796
332,332,333,55,0,A,0,Badminton,grassland,173,0.0,0.0,0.5,0.97,C,4177
333,333,334,21,0,A,0,Running,playground,479,0.0,0.0,0.8,0.95,B,4288
334,334,335,65,0,A,0,Basketball,street,574,0.0,0.0,0.2,1.08,D,1789
335,335,336,58,1,D,29,Basketball,playground,434,0.76,0.8,1.0,1.06,A,3086
336,336,337,20,5,E,34,Badminton,Forest,199,0.19,0.11,0.6,0.97,C,4344
337,337,338,51,0,A,0,Basketball,street,672,0.0,0.0,0.6,1.02,B,2953
338,338,339,44,1,E,37,Badminton,playground,283,0.27,0.45,0.7,1.0,B,2092
339,339,340,50,4,B,3,Basketball,Forest,293,0.73,0.55,0.4,1.01,D,3912
340,340,341,56,6,B,4,Badminton,Forest,151,0.38,0.63,0.5,0.92,C,2508
341,341,342,61,0,A,0,Basketball,park,521,0.0,0.0,0.3,0.92,D,4227
342,342,343,48,6,C,16,Running,street,654,0.17,0.47,0.6,1.01,B,1966
343,343,344,20,2,B,5,Basketball,Forest,236,0.28,0.08,0.0,1.02,E,2509
344,344,345,58,0,A,0,Running,playground,301,0.0,0.0,0.2,1.04,D,3766
345,345,346,71,5,E,37,Running,Forest,363,0.69,0.99,0.7,0.93,B,4305
346,346,347,76,0,A,0,Badminton,street,403,0.0,0.0,0.9,1.06,A,2553
347,347,348,51,1,D,22,Running,street,623,0.31,0.74,0.0,0.91,E,2247
348,348,349,68,1,E,41,Badminton,street,426,0.57,0.8,1.0,0.96,A,2571
349,349,350,16,2,B,4,Running,street,552,0.3,0.02,0.4,1.07,D,3022
350,350,351,33,2,E,36,Basketball,street,747,0.28,0.34,0.2,1.04,D,1724
351,351,352,63,6,B,2,Badminton,park,303,0.6,0.91,0.1,1.06,E,3023
352,352,353,30,1,C,14,Basketball,grassland,377,0.26,0.01,0.3,0.93,D,2805
353,353,354,76,4,E,39,Badminton,grassland,143,0.97,0.97,0.8,0.94,A,4221
354,354,355,73,1,B,2,Basketball,Forest,265,0.74,0.86,0.1,0.91,E,1900
355,355,356,75,2,E,38,Badminton,park,479,0.6,0.97,0.4,1.04,D,2592
356,356,357,17,3,E,38,Running,street,526,0.59,0.15,0.3,1.0,D,4345
357,357,358,35,6,D,22,Badminton,playground,344,0.49,0.3,0.8,1.03,B,3512
358,358,359,66,2,E,32,Badminton,playground,372,0.97,0.82,0.4,1.0,C,3782
359,359,360,17,5,E,32,Basketball,park,621,0.38,0.01,0.8,0.91,B,1907
360,360,361,30,1,E,38,Badminton,park,328,0.46,0.05,1.0,0.95,A,4151
361,361,362,70,6,C,14,Badminton,park,470,0.58,0.92,0.6,0.98,C,1764
362,362,363,76,4,C,14,Running,street,642,0.26,0.86,0.9,0.95,A,4258
363,363,364,17,3,E,33,Basketball,Forest,272,0.54,0.12,0.3,1.06,D,2389
364,364,365,61,1,C,11,Running,street,759,0.95,0.9,0.3,0.94,D,2640
365,365,366,34,6,B,6,Running,park,747,0.46,0.2,0.7,1.08,B,3503
366,366,367,63,5,B,3,Basketball,Forest,282,0.79,0.9,0.7,0.97,B,4326
367,367,368,55,2,B,2,Basketball,park,671,1.0,0.67,0.3,0.96,D,4171
368,368,369,37,1,B,5,Basketball,park,717,0.44,0.21,0.3,1.0,D,2485
369,369,370,64,2,B,5,Badminton,park,477,0.76,0.91,0.3,1.09,D,1672
370,370,371,55,1,C,18,Basketball,grassland,344,0.87,0.71,0.7,1.07,B,3692
371,371,372,62,0,A,0,Badminton,street,493,0.0,0.0,0.8,0.97,A,3943
372,372,373,20,3,E,32,Basketball,Forest,223,0.32,0.04,0.4,0.98,D,1831
373,373,374,41,6,C,13,Running,park,546,0.21,0.44,0.7,1.1,B,3374
374,374,375,73,5,B,9,Basketball,park,619,0.85,0.98,0.3,0.91,D,3308
375,375,376,51,1,E,34,Running,park,608,0.8,0.74,0.2,0.95,D,3964
376,376,377,73,4,E,41,Running,grassland,269,0.2,0.83,0.2,0.96,D,2036
377,377,378,18,1,B,3,Basketball,playground,392,0.57,0.07,0.3,1.09,D,2351
378,378,379,73,0,A,0,Badminton,Forest,172,0.0,0.0,0.7,1.06,B,3841
379,379,380,54,3,E,32,Badminton,Forest,123,0.73,0.65,0.0,1.05,E,1668
380,380,381,68,5,E,33,Basketball,grassland,302,0.24,0.84,0.2,1.01,E,4400
381,381,382,49,3,D,22,Badminton,grassland,154,0.41,0.53,0.6,1.03,C,3524
382,382,383,27,1,C,15,Badminton,street,426,0.32,0.11,0.1,1.01,E,2080
383,383,384,63,4,C,17,Basketball,Forest,316,0.56,0.97,0.8,1.02,B,3785
384,384,385,47,5,E,37,Badminton,Forest,188,0.54,0.6,0.5,0.9,C,3946
385,385,386,48,2,C,11,Running,Forest,348,0.51,0.58,0.9,1.0,A,2146
386,386,387,77,4,B,6,Running,Forest,332,1.0,0.87,0.5,1.04,C,4303
387,387,388,40,3,E,33,Running,Forest,394,0.74,0.4,0.2,0.94,D,3435
388,388,389,18,2,D,21,Running,street,774,0.11,0.08,1.0,1.06,A,1835
389,389,390,69,1,E,40,Running,street,524,0.6,0.84,0.9,1.06,A,3519
390,390,391,66,0,A,0,Badminton,grassland,138,0.0,0.0,0.6,1.0,C,1793
391,391,392,51,0,A,0,Running,park,657,0.0,0.0,0.5,1.01,C,1511
392,392,393,77,0,A,0,Basketball,street,628,0.0,0.0,0.8,1.03,B,1643
393,393,394,23,4,D,24,Running,playground,374,0.36,0.1,0.4,0.92,D,3561
394,394,395,54,0,A,0,Basketball,park,782,0.0,0.0,0.7,0.92,B,3871
395,395,396,15,2,D,25,Running,street,610,0.42,0.08,0.0,1.03,E,2654
396,396,397,28,6,C,18,Basketball,playground,419,0.56,0.08,0.9,1.09,A,2936
397,397,398,77,1,E,36,Badminton,playground,202,0.25,0.91,0.7,1.02,B,3960
398,398,399,61,4,D,23,Badminton,grassland,117,0.85,0.85,0.6,1.0,B,4125
399,399,400,43,0,A,0,Basketball,grassland,346,0.0,0.0,0.3,0.97,D,2314
400,400,401,71,0,A,0,Badminton,playground,387,0.0,0.0,0.2,1.05,D,2445
401,401,402,46,2,B,9,Basketball,park,561,0.95,0.49,0.8,1.1,B,1833
402,402,403,42,2,B,5,Basketball,park,598,0.31,0.57,0.7,1.02,B,3649
403,403,404,63,4,D,23,Running,street,769,0.28,0.98,0.8,1.02,A,1792
404,404,405,34,2,E,37,Badminton,playground,383,0.38,0.28,0.0,0.92,E,2886
405,405,406,42,4,D,26,Basketball,street,549,0.98,0.48,0.5,0.98,C,2682
406,406,407,50,4,E,37,Basketball,Forest,354,0.46,0.43,0.6,0.9,C,2476
407,407,408,43,4,B,7,Running,playground,343,0.91,0.56,0.0,0.94,E,2132
408,408,409,79,4,B,2,Running,Forest,203,0.44,0.9,0.6,1.07,C,3457
409,409,410,74,0,A,0,Running,park,631,0.0,0.0,0.5,1.03,C,1648
410,410,411,26,5,E,40,Badminton,playground,213,0.71,0.0,0.1,0.99,E,4210
411,411,412,57,6,B,3,Badminton,grassland,121,0.99,0.7,0.5,0.98,C,1632
412,412,413,56,5,B,6,Badminton,Forest,141,0.92,0.77,0.6,1.08,B,1565
413,413,414,44,2,E,36,Running,playground,482,0.74,0.48,0.7,1.09,B,2334
414,414,415,27,2,E,39,Badminton,street,369,0.6,0.2,0.2,0.97,E,2541
415,415,416,75,0,A,0,Running,playground,402,0.0,0.0,0.6,1.09,B,2500
416,416,417,33,3,B,2,Running,playground,388,0.99,0.28,0.1,1.07,E,3639
417,417,418,49,2,D,23,Badminton,park,358,0.61,0.47,0.7,0.97,B,2363
418,418,419,63,4,D,24,Running,Forest,244,0.67,0.99,0.4,1.01,D,1569
419,419,420,48,0,A,0,Basketball,street,588,0.0,0.0,0.6,0.93,B,2818
420,420,421,63,5,C,18,Badminton,street,355,0.88,0.95,0.6,1.0,C,3163
421,421,422,74,3,E,34,Running,playground,402,0.7,0.82,0.2,1.05,D,3632
422,422,423,16,1,E,35,Badminton,Forest,131,0.93,0.17,0.9,0.92,A,2801
423,423,424,33,0,A,0,Badminton,park,357,0.0,0.0,0.4,0.95,C,3448
424,424,425,34,1,C,14,Badminton,street,451,0.53,0.4,0.9,1.09,A,3351
425,425,426,44,6,C,12,Basketball,playground,452,0.58,0.49,0.0,1.07,E,2566
426,426,427,26,0,A,0,Basketball,grassland,276,0.0,0.0,0.8,0.98,B,2123
427,427,428,49,5,B,6,Basketball,Forest,215,0.32,0.54,0.9,1.01,A,4363
428,428,429,75,4,B,1,Basketball,playground,382,0.55,0.9,0.3,0.98,D,2677
429,429,430,27,5,D,21,Basketball,park,707,0.31,0.13,0.1,0.91,E,3343
430,430,431,63,3,B,7,Basketball,grassland,243,0.22,0.83,0.7,0.94,B,3708
431,431,432,59,0,A,0,Badminton,park,478,0.0,0.0,0.3,1.09,D,3393
432,432,433,48,4,C,14,Badminton,grassland,164,0.11,0.43,0.6,1.02,C,1913
433,433,434,24,4,D,22,Running,grassland,286,0.24,0.02,0.3,1.01,D,2555
434,434,435,47,1,C,17,Badminton,playground,318,0.84,0.47,0.7,0.96,B,4316
435,435,436,73,4,C,11,Basketball,grassland,377,0.37,0.91,0.1,1.06,E,2768
436,436,437,46,3,C,16,Running,grassland,333,0.32,0.47,0.3,1.07,D,1751
437,437,438,16,0,A,0,Basketball,Forest,283,0.0,0.0,0.2,0.94,E,2946
438,438,439,18,4,E,39,Badminton,playground,225,0.78,0.04,0.3,0.96,D,3655
439,439,440,56,0,A,0,Basketball,grassland,351,0.0,0.0,0.2,1.04,D,3282
440,440,441,72,0,A,0,Running,street,618,0.0,0.0,0.7,0.91,B,3229
441,441,442,29,0,A,0,Basketball,street,520,0.0,0.0,0.2,0.9,D,2488
442,442,443,47,5,E,40,Running,grassland,200,0.88,0.56,0.4,0.96,C,4359
443,443,444,60,5,D,27,Basketball,Forest,324,0.64,0.79,0.7,1.04,B,3671
444,444,445,18,4,E,39,Running,street,634,0.32,0.08,1.0,0.93,A,3114
445,445,446,39,1,D,28,Badminton,grassland,147,0.81,0.22,0.3,0.9,D,4387
446,446,447,52,0,A,0,Badminton,park,335,0.0,0.0,0.4,1.05,C,1557
447,447,448,64,3,E,41,Basketball,park,600,0.45,0.97,0.1,1.01,E,3144
448,448,449,78,4,B,6,Running,park,692,0.33,0.92,1.0,0.99,A,4431
449,449,450,41,6,D,27,Running,grassland,294,0.9,0.5,0.3,1.07,D,3200
450,450,451,17,6,E,36,Running,street,599,0.35,0.1,0.3,1.06,D,2484
451,451,452,52,2,C,13,Basketball,street,509,0.42,0.67,0.7,0.91,B,2220
452,452,453,15,1,E,39,Basketball,playground,460,0.43,0.01,0.0,0.94,E,2564
453,453,454,51,3,C,16,Basketball,playground,423,0.48,0.8,0.2,0.99,E,3475
454,454,455,34,1,D,27,Running,Forest,307,0.53,0.23,0.5,0.93,C,4213
455,455,456,66,0,A,0,Running,grassland,277,0.0,0.0,0.4,0.95,C,3455
456,456,457,31,0,A,0,Running,street,697,0.0,0.0,0.1,0.97,E,1623
457,457,458,71,4,B,8,Badminton,Forest,139,0.37,0.83,0.1,1.01,E,1791
458,458,459,18,5,D,28,Running,street,558,0.26,0.04,0.3,0.96,D,2893
459,459,460,51,6,E,41,Badminton,playground,340,0.87,0.78,0.5,1.05,C,4033
460,460,461,44,1,B,8,Badminton,street,363,0.25,0.47,0.9,0.93,A,2772
461,461,462,53,2,C,19,Running,street,750,0.68,0.7,0.3,1.06,D,2410
462,462,463,75,4,C,16,Basketball,park,556,0.16,0.82,0.8,1.0,A,3862
463,463,464,50,0,A,0,Basketball,grassland,287,0.0,0.0,0.7,0.98,B,4316
464,464,465,54,4,C,12,Running,Forest,280,0.96,0.67,0.2,1.09,D,1928
465,465,466,73,1,D,24,Badminton,playground,271,0.41,0.83,0.1,0.98,E,3391
466,466,467,36,6,E,38,Badminton,Forest,141,0.95,0.22,0.2,0.92,D,4430
467,467,468,25,1,E,41,Badminton,Forest,106,0.2,0.13,0.8,1.01,B,1957
468,468,469,36,0,A,0,Basketball,playground,408,0.0,0.0,0.3,1.03,D,3575
469,469,470,71,5,C,15,Basketball,Forest,291,0.63,0.95,0.0,0.96,E,2242
470,470,471,19,1,C,11,Badminton,grassland,158,0.51,0.06,0.7,1.0,B,3485
471,471,472,24,6,E,32,Badminton,park,413,0.27,0.18,0.2,1.1,E,3888
472,472,473,57,1,C,15,Running,playground,483,0.33,0.73,0.7,0.94,B,2562
473,473,474,63,6,E,40,Basketball,street,552,0.37,0.86,0.9,0.91,A,3812
474,474,475,24,0,A,0,Running,playground,386,0.0,0.0,0.4,1.05,D,3993
475,475,476,79,1,B,4,Badminton,grassland,158,0.75,0.83,0.3,0.97,D,2202
476,476,477,70,5,B,6,Basketball,street,710,0.34,0.86,0.8,1.01,B,1942
477,477,478,51,6,C,18,Badminton,grassland,160,0.77,0.68,0.5,0.95,C,2011
478,478,479,68,0,A,0,Running,playground,377,0.0,0.0,0.2,0.99,E,2139
479,479,480,22,4,E,40,Basketball,playground,411,0.53,0.01,0.4,1.05,D,2224
480,480,481,57,6,D,24,Badminton,playground,280,0.95,0.67,0.5,1.08,C,2764
481,481,482,43,1,E,38,Badminton,playground,228,0.73,0.5,0.4,1.06,D,3195
482,482,483,43,3,E,31,Running,playground,338,0.42,0.41,0.2,0.91,D,1598
483,483,484,70,0,A,0,Badminton,park,477,0.0,0.0,1.0,0.95,A,1558
484,484,485,54,0,A,0,Running,grassland,323,0.0,0.0,0.7,1.05,B,3440
485,485,486,74,2,E,40,Running,street,653,0.96,0.85,0.5,0.93,C,2210
486,486,487,21,0,A,0,Basketball,street,695,0.0,0.0,0.6,0.96,C,4135
487,487,488,55,3,C,16,Badminton,grassland,197,0.13,0.73,0.5,0.93,C,3892
488,488,489,49,2,D,22,Badminton,street,347,0.54,0.41,0.1,1.07,E,2673
489,489,490,65,6,D,23,Badminton,grassland,104,0.13,0.94,0.1,0.98,E,1566
490,490,491,30,5,C,12,Badminton,playground,289,0.65,0.14,0.6,1.07,B,4378
491,491,492,17,1,D,25,Basketball,playground,381,0.66,0.19,0.0,0.92,E,2934
492,492,493,66,0,A,0,Badminton,playground,231,0.0,0.0,0.7,1.08,B,2125
493,493,494,38,5,D,22,Basketball,grassland,346,0.69,0.39,0.6,1.04,C,3674
494,494,495,48,2,E,36,Badminton,park,378,0.35,0.53,0.9,1.01,A,3675
495,495,496,43,0,A,0,Badminton,park,455,0.0,0.0,0.6,0.99,C,3496
496,496,497,42,0,A,0,Running,street,683,0.0,0.0,0.4,0.93,D,2701
497,497,498,52,6,E,40,Running,street,523,0.84,0.7,0.3,1.01,D,2923
498,498,499,60,4,D,24,Running,playground,392,0.85,0.78,0.8,0.98,A,2815
499,499,500,32,0,A,0,Basketball,park,560,0.0,0.0,0.6,0.93,B,3683
